Rank,Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
1,Guillermo Coria,171.5,36.10%,54.40%,35.30%,45.70%
2,Guillermo Perez-Roldan,168.1,35.80%,53.20%,32.50%,46.60%
3,Rafael Nadal,167.8,34.20%,55.30%,33.40%,44.90%
4,Alberto Berasategui,166.6,33.60%,56.30%,32.40%,44.30%
5,Franco Davin,166.3,34.80%,53.20%,32.80%,45.50%
6,Bart Wuyts,165,34.40%,54.30%,32.80%,43.50%
7,Novak Djokovic,164.5,33.60%,55.10%,31.70%,44.10%
8,Jordi Arrese,163.4,33.80%,54.20%,31.60%,43.80%
9,Thomas Muster,163.4,32.00%,55.20%,31.60%,44.60%
10,Michael Chang,163.1,32.30%,55.20%,31.60%,44.00%
11,David Ferrer,163,33.50%,54.50%,31.40%,43.60%
12,Sergi Bruguera,162.7,32.50%,53.80%,31.40%,45.00%
13,Andre Agassi,162.4,31.50%,55.80%,31.70%,43.40%
14,Diego Schwartzman,162.1,33.20%,54.50%,31.00%,43.40%
15,Carlos Costa,161.8,32.20%,54.90%,31.10%,43.60%
16,Horacio de la Pena,161.6,33.70%,52.60%,30.20%,45.10%
17,Goran Prpic,161.3,33.70%,53.10%,30.90%,43.60%
18,Slava Dosedel,161.2,33.70%,53.90%,30.70%,42.90%
19,Gilbert Schaller,161.2,33.00%,53.90%,31.30%,43.00%
20,Eduardo Masso,161.1,33.60%,53.00%,29.30%,45.20%
21,David Nalbandian,161.1,32.20%,54.60%,30.10%,44.20%
22,Carlos Alcaraz,161,34.40%,53.70%,31.10%,41.80%
23,Andrei Chesnokov,160.8,32.90%,52.70%,30.90%,44.30%
24,Tomas Carbonell,160.4,33.60%,52.70%,30.10%,44.00%
25,Nikolay Davydenko,160.1,33.20%,53.30%,29.90%,43.70%
26,Filippo Volandri,160.1,33.30%,52.10%,30.50%,44.20%
27,Stefan Edberg,160,33.10%,53.40%,30.30%,43.20%
28,Andy Murray,160,32.60%,54.60%,30.10%,42.70%
29,Magnus Gustafsson,159.8,34.30%,52.00%,30.30%,43.20%
30,Veli Paloheimo,159.4,36.20%,52.50%,30.90%,39.80%
31,Lleyton Hewitt,158.7,32.10%,53.60%,29.90%,43.10%
32,Francisco Roig,158.6,35.60%,51.70%,30.90%,40.40%
33,Felix Mantilla,158.4,31.00%,53.60%,29.30%,44.50%
34,Marc Lopez,157.6,33.70%,51.10%,26.80%,46.00%
35,Karol Kucera,157.5,33.20%,51.90%,29.20%,43.20%
36,Juan Monaco,157.5,32.70%,52.50%,29.50%,42.80%
37,Jaime Oncins,157.4,33.70%,53.30%,29.40%,41.00%
38,Gaston Gaudio,157.3,32.60%,53.00%,29.80%,41.90%
39,Francisco Clavet,157.1,31.60%,53.50%,29.20%,42.80%
40,Marian Vajda,157.1,33.80%,51.80%,28.50%,43.00%
41,Christian Bergstrom,157,32.30%,52.20%,28.60%,43.90%
42,Frederic Fontang,157,34.00%,51.70%,30.30%,41.00%
43,Jannik Sinner,156.9,32.10%,54.20%,27.90%,42.70%
44,Mariano Navone,156.7,33.70%,51.80%,28.60%,42.60%
45,Jimmy Connors,156.5,32.20%,53.00%,29.40%,41.90%
46,Antonio Veic,156.4,32.90%,48.70%,26.90%,47.90%
47,Juan Ignacio Chela,156.1,33.40%,51.40%,28.40%,42.90%
48,Flavio Saretta,155.8,33.70%,50.90%,28.20%,43.00%
49,Marcelo Rios,155.6,31.30%,53.40%,28.70%,42.20%
50,Grant Stafford,155.3,31.40%,54.20%,27.60%,42.10%
51,Marcos Ondruska,155.2,32.20%,51.30%,27.20%,44.50%
52,Alex Corretja,155.1,32.30%,52.30%,28.60%,41.90%
53,Jonas Svensson,154.9,32.20%,51.60%,27.70%,43.40%
54,Ivan Lendl,154.8,31.30%,52.80%,28.30%,42.40%
55,Petr Korda,154.7,31.90%,53.00%,28.50%,41.30%
56,Alex de Minaur,154.6,31.80%,52.60%,27.30%,42.90%
57,Andrei Medvedev,154.6,32.30%,52.20%,27.80%,42.30%
58,Jiri Novak,154.6,31.30%,52.50%,27.80%,43.00%
59,Jaime Yzaga,154.6,31.80%,52.00%,27.90%,42.90%
60,Aaron Krickstein,154.5,30.50%,53.60%,28.40%,42.00%
61,David Sanchez,154.5,32.50%,51.70%,28.00%,42.30%
62,Daniil Medvedev,154,31.30%,53.50%,27.00%,42.20%
63,Guillermo Canas,153.4,33.00%,50.80%,27.70%,41.90%
64,Andrej Martin,153.2,34.50%,49.30%,27.90%,41.50%
65,Diego Perez,153.1,31.80%,55.10%,28.10%,38.10%
66,Yevgeny Kafelnikov,153,30.10%,52.70%,27.60%,42.60%
67,Brad Gilbert,152.9,32.70%,50.30%,26.60%,43.30%
68,Francisco Cerundolo,152.8,32.90%,51.20%,27.10%,41.60%
69,Hernan Gumy,152.8,30.80%,52.40%,26.80%,42.80%
70,Christian Ruud,152.8,31.10%,52.80%,27.80%,41.10%
71,Gilles Simon,152.7,31.20%,52.50%,26.60%,42.40%
72,Olivier Mutis,152.5,31.90%,49.20%,25.90%,45.50%
73,Juan Antonio Marin,152.4,31.20%,51.40%,26.40%,43.40%
74,Federico Coria,152.3,32.10%,51.40%,26.40%,42.40%
75,Paul Goldstein,152.3,30.50%,52.30%,26.80%,42.70%
76,Robin Vik,152.3,30.40%,52.00%,25.30%,44.60%
77,Arnaud Di Pasquale,152.2,31.70%,50.50%,26.70%,43.30%
78,Marcello Craca,152,30.30%,51.60%,27.20%,42.90%
79,Franco Squillari,152,32.10%,52.00%,27.30%,40.60%
80,Patrick McEnroe,151.9,28.50%,55.30%,26.60%,41.50%
81,Carsten Arriens,151.7,31.70%,49.80%,26.60%,43.60%
82,Jimmy Arias,151.6,31.10%,51.90%,26.70%,41.90%
83,Roberto Carretero,151.6,29.60%,52.30%,25.20%,44.50%
84,Renzo Furlan,151.6,31.70%,51.10%,26.80%,42.00%
85,Gabriel Markus,151.6,30.80%,52.10%,25.50%,43.20%
86,Dimitri Poliakov,151.6,33.50%,50.90%,27.80%,39.40%
87,Radomir Vasek,151.6,30.30%,51.80%,27.00%,42.50%
88,John McEnroe,151.5,31.80%,50.80%,26.90%,42.00%
89,Fernando Meligeni,151.5,31.30%,51.10%,26.60%,42.50%
90,Horst Skoff,151.5,32.20%,51.00%,26.90%,41.40%
91,Sebastian Baez,151.4,32.80%,51.10%,27.00%,40.50%
92,Fabio Fognini,151.4,31.40%,50.60%,26.60%,42.80%
93,Oliver Gross,151.4,31.20%,50.80%,26.70%,42.70%
94,Thierry Champion,151.3,31.60%,51.10%,26.40%,42.20%
95,Mikael Ymer,151.3,32.20%,50.90%,26.80%,41.40%
96,Andrei Cherkasov,151.2,29.10%,54.10%,26.30%,41.70%
97,Ramesh Krishnan,151.2,31.40%,53.30%,27.60%,38.90%
98,Bernabe Zapata Miralles,151.2,31.60%,50.20%,25.80%,43.60%
99,Jim Courier,151.1,29.80%,52.60%,26.20%,42.50%
100,Roger Federer,151.1,32.50%,50.90%,26.60%,41.10%
101,Jan Gunnarsson,151.1,32.00%,49.20%,25.90%,44.00%
102,Hyeon Chung,151,30.10%,52.40%,26.00%,42.50%
103,Alejandro Davidovich Fokina,151,31.20%,51.70%,26.20%,41.90%
104,Sebastien Grosjean,151,31.20%,51.70%,26.70%,41.40%
105,David Goffin,151,31.10%,52.20%,27.00%,40.70%
106,Fabrice Santoro,151,31.60%,51.60%,26.60%,41.20%
107,Andrea Gaudenzi,150.9,31.30%,51.90%,27.10%,40.60%
108,Michal Tabara,150.9,30.30%,52.30%,26.60%,41.70%
109,Jonas Bjorkman,150.8,30.40%,53.60%,26.50%,40.30%
110,Lucas Arnold Ker,150.7,29.20%,51.70%,25.70%,44.10%
111,Kei Nishikori,150.7,30.40%,53.00%,26.70%,40.60%
112,Todd Woodbridge,150.7,30.10%,52.90%,26.00%,41.70%
113,Byron Black,150.6,28.00%,55.00%,26.10%,41.50%
114,Damir Dzumhur,150.6,31.90%,50.00%,25.90%,42.80%
115,Markus Hipfl,150.6,30.90%,51.30%,26.70%,41.70%
116,Albert Costa,150.5,31.10%,51.70%,26.70%,41.00%
117,Claudio Pistolesi,150.5,33.10%,50.00%,25.60%,41.80%
118,Bohdan Ulihrach,150.2,29.70%,52.50%,26.50%,41.50%
119,Gilad Bloom,150.1,31.50%,49.40%,26.40%,42.80%
120,Christian Miniussi,150.1,32.90%,50.70%,27.00%,39.50%
121,Juan Carlos Ferrero,150,30.80%,52.50%,26.60%,40.10%
122,Daniel Orsanic,150,31.80%,47.10%,24.10%,47.00%
123,Jenson Brooksby,149.8,31.30%,50.70%,26.00%,41.80%
124,David Engel,149.8,30.50%,50.60%,23.90%,44.80%
125,Rainer Schuettler,149.8,31.00%,50.80%,25.70%,42.30%
126,Alexander Volkov,149.8,29.30%,51.90%,25.60%,43.00%
127,Fernando Vicente,149.8,31.70%,51.10%,25.80%,41.20%
128,Dominik Hrbaty,149.7,29.80%,52.30%,26.00%,41.60%
129,MaliVai Washington,149.7,30.50%,51.10%,25.70%,42.40%
130,Roberto Bautista Agut,149.6,29.90%,53.10%,25.50%,41.10%
131,Marcelo Filippini,149.6,32.50%,51.20%,26.50%,39.40%
132,Lars Jonsson,149.6,30.20%,51.50%,26.00%,41.90%
133,Oscar Martinez,149.6,33.20%,50.60%,27.00%,38.80%
134,Alberto Martin,149.6,31.40%,50.80%,25.60%,41.80%
135,David Nainkin,149.5,27.90%,52.40%,25.40%,43.80%
136,Thomas Enqvist,149.4,28.70%,53.40%,26.30%,41.00%
137,Richey Reneberg,149.4,29.60%,52.80%,26.00%,41.00%
138,Vincent Spadea,149.4,29.80%,52.30%,25.20%,42.10%
139,Anders Jarryd,149.3,30.70%,50.50%,26.00%,42.10%
140,Mikael Pernfors,149.2,30.30%,50.80%,26.20%,41.90%
141,Juan Martin del Potro,149.1,30.00%,51.70%,25.60%,41.80%
142,Nicolas Kiefer,149.1,30.10%,51.10%,25.40%,42.50%
143,Jason Stoltenberg,149.1,31.30%,50.70%,25.80%,41.30%
144,Mats Wilander,149.1,29.50%,51.80%,25.30%,42.50%
145,Tommy Robredo,148.9,31.10%,51.10%,25.40%,41.30%
146,Michel Kratochvil,148.6,30.90%,51.00%,25.20%,41.50%
147,Jordi Burillo,148.5,30.60%,50.30%,25.00%,42.60%
148,Arnaud Boetsch,148.4,30.10%,51.90%,25.70%,40.70%
149,Tim Henman,148.4,31.70%,50.10%,25.80%,40.80%
150,Mark Knowles,148.4,28.40%,52.20%,24.20%,43.60%
151,Flavio Cipolla,148.1,31.60%,50.20%,25.60%,40.70%
152,Jack Draper,148,29.70%,51.70%,24.80%,41.80%
153,James Blake,147.9,30.40%,50.90%,24.90%,41.70%
154,Mikhail Youzhny,147.9,30.10%,51.20%,25.30%,41.30%
155,Mauricio Hadad,147.8,31.50%,50.50%,26.40%,39.40%
156,Nicolas Kicker,147.8,30.10%,49.70%,23.10%,44.90%
157,Carlos Moya,147.8,31.40%,50.70%,25.30%,40.40%
158,Pablo Andujar,147.7,30.60%,51.90%,25.20%,40.00%
159,Jean-Rene Lisnard,147.7,31.80%,51.20%,25.10%,39.60%
160,Andres Gomez,147.6,33.00%,47.90%,25.10%,41.60%
161,Kris Goossens,147.6,31.80%,48.10%,24.00%,43.70%
162,Jarkko Nieminen,147.6,29.70%,51.60%,24.70%,41.60%
163,Martin Jaite,147.5,33.00%,48.50%,25.30%,40.70%
164,Markus Naewie,147.5,30.50%,49.40%,24.20%,43.40%
165,Magnus Norman,147.5,29.60%,51.30%,25.50%,41.10%
166,Sjeng Schalken,147.5,29.70%,51.40%,25.10%,41.30%
167,Carlos Berlocq,147.4,31.00%,50.30%,25.20%,40.90%
168,Robin Soderling,147.4,29.50%,51.00%,24.10%,42.80%
169,Nicolas Escude,147.3,30.90%,50.50%,25.00%,40.90%
170,Tommy Paul,147.3,30.80%,51.20%,24.90%,40.40%
171,Javier Sanchez,147.3,31.70%,50.00%,25.20%,40.40%
172,Amos Mansdorf,147,29.30%,51.40%,25.00%,41.30%
173,Nicolas Massu,146.9,30.60%,49.90%,24.60%,41.80%
174,Olivier Rochus,146.9,28.50%,52.70%,24.20%,41.50%
175,Jeff Tarango,146.9,29.20%,51.50%,25.00%,41.20%
176,Carlos Taberner,146.9,29.30%,50.30%,23.90%,43.40%
177,Santiago Ventura,146.9,30.90%,48.40%,23.90%,43.70%
178,Wayne Black,146.8,27.50%,53.10%,24.40%,41.80%
179,Tomas Berdych,146.8,29.20%,52.00%,24.00%,41.60%
180,Todd Witsken,146.8,30.00%,50.80%,24.30%,41.70%
181,Alexander Zverev,146.8,30.40%,51.20%,24.50%,40.70%
182,Albert Portas,146.5,29.20%,51.50%,25.00%,40.80%
183,Alex Lopez Moron,146.4,31.90%,49.30%,25.30%,39.90%
184,Vit Kopriva,146.3,28.90%,52.10%,24.30%,41.00%
185,Cameron Norrie,146.3,29.80%,51.00%,24.00%,41.50%
186,Brett Steven,146.3,30.00%,51.50%,24.20%,40.60%
187,Yuki Bhambri,146.2,30.00%,49.30%,24.60%,42.30%
188,Gael Monfils,146.2,31.60%,49.00%,24.70%,40.90%
189,Kevin Ullyett,146.2,30.30%,49.20%,23.90%,42.80%
190,Alejandro Hernandez,146.1,31.30%,47.50%,23.60%,43.70%
191,Pablo Carreno Busta,146,28.80%,51.70%,24.20%,41.30%
192,Julian Alonso,145.9,30.10%,49.50%,24.80%,41.50%
193,Marton Fucsovics,145.9,30.90%,50.70%,24.20%,40.10%
194,Lorenzo Musetti,145.9,30.20%,51.40%,24.00%,40.30%
195,Lars-Anders Wahlgren,145.9,29.00%,51.20%,24.00%,41.70%
196,Steve Bryan,145.8,27.30%,54.90%,25.50%,38.10%
197,Michael Joyce,145.8,27.00%,53.00%,23.70%,42.10%
198,Vincenzo Santopadre,145.8,28.60%,49.10%,23.10%,45.00%
199,Agustin Calleri,145.7,30.80%,50.60%,24.20%,40.10%
200,Claudio Mezzadri,145.7,30.70%,50.80%,24.00%,40.20%
201,Xavier Malisse,145.7,30.50%,49.90%,24.10%,41.20%
202,Wayne Ferreira,145.6,30.20%,50.70%,24.40%,40.30%
203,Alberto Mancini,145.6,29.80%,50.70%,23.30%,41.80%
204,Carl-Uwe Steeb,145.6,30.10%,49.70%,23.60%,42.20%
205,Mark Koevermans,145.5,33.20%,47.60%,24.70%,40.00%
206,Tomas Machac,145.5,28.30%,51.40%,23.20%,42.60%
207,Ronald Agenor,145.4,29.70%,50.80%,24.50%,40.40%
208,Alex Molcan,145.4,30.20%,50.80%,23.80%,40.60%
209,Camilo Ugo Carabelli,145.4,30.80%,49.30%,22.10%,43.20%
210,Hicham Arazi,145.3,29.20%,51.50%,24.30%,40.30%
211,Stefan Koubek,145.3,30.40%,49.80%,24.00%,41.10%
212,Karel Novacek,145.3,30.30%,50.80%,24.40%,39.80%
213,Jaume Munar,145.2,32.20%,50.50%,24.60%,37.90%
214,Eyal Ran,145.2,28.70%,52.10%,23.70%,40.70%
215,Andre Sa,145.2,29.70%,51.10%,24.30%,40.10%
216,Mikael Tillstrom,145.2,28.50%,52.00%,24.40%,40.30%
217,Mark Woodforde,145.2,29.90%,51.40%,24.50%,39.40%
218,Nicolas Coutelot,145.1,33.20%,47.80%,23.20%,40.90%
219,Gustavo Kuerten,145.1,29.40%,50.60%,24.30%,40.80%
220,Dudi Sela,145.1,30.00%,50.80%,23.90%,40.40%
221,Roberto Carballes Baena,145,29.40%,50.80%,23.20%,41.60%
222,Richard Gasquet,145,30.00%,50.50%,24.00%,40.50%
223,Tobias Kamke,144.9,29.10%,51.90%,24.20%,39.70%
224,Andrei Pavel,144.9,29.30%,50.80%,24.00%,40.80%
225,Andrey Rublev,144.9,29.50%,52.50%,23.70%,39.20%
226,Filip Dewulf,144.8,28.20%,50.50%,23.10%,43.00%
227,Paul Haarhuis,144.8,29.20%,50.20%,23.40%,42.00%
228,Fernando Verdasco,144.8,30.50%,50.50%,23.70%,40.10%
229,Mariano Zabaleta,144.8,31.80%,49.30%,24.70%,39.00%
230,Luis Herrera,144.7,31.30%,50.30%,25.10%,38.00%
231,Blaz Kavcic,144.7,29.90%,49.80%,23.10%,41.90%
232,Juan Pablo Varillas,144.6,28.90%,51.50%,22.30%,41.90%
233,Pablo Arraya,144.5,31.50%,47.10%,23.80%,42.10%
234,Francisco Montana,144.5,29.40%,51.00%,23.90%,40.20%
235,Ruben Ramirez Hidalgo,144.5,29.20%,49.20%,22.90%,43.20%
236,Pedro Martinez,144.4,29.90%,51.60%,23.70%,39.20%
237,Dinu Pescariu,144.4,29.40%,50.00%,23.40%,41.60%
238,Emilio Sanchez,144.4,31.80%,48.50%,24.00%,40.10%
239,Pete Sampras,144.4,28.90%,50.90%,24.00%,40.60%
240,Facundo Diaz Acosta,144.1,31.10%,50.00%,23.70%,39.30%
241,Christophe Rochus,144.1,28.70%,51.80%,24.30%,39.30%
242,Bernd Karbacher,144,29.90%,50.70%,23.90%,39.50%
243,Eric Jelen,143.9,31.60%,47.30%,23.20%,41.80%
244,Martin Klizan,143.9,28.60%,50.50%,23.10%,41.70%
245,Michael Stich,143.9,30.50%,49.50%,23.50%,40.40%
246,Boris Becker,143.8,28.90%,51.40%,23.60%,39.90%
247,Paul Capdeville,143.8,29.80%,49.10%,23.50%,41.40%
248,Jean-Philippe Fleurian,143.8,29.90%,49.20%,23.00%,41.70%
249,Nicolas Lapentti,143.8,30.20%,50.30%,24.10%,39.20%
250,Derrick Rostagno,143.8,30.10%,50.70%,23.70%,39.30%
251,Darren Cahill,143.7,28.70%,51.10%,23.10%,40.80%
252,Sebastian Korda,143.7,29.50%,50.80%,23.10%,40.30%
253,Guillermo Garcia-Lopez,143.6,29.80%,50.40%,23.40%,40.00%
254,Cedric Pioline,143.6,29.10%,50.90%,23.70%,39.90%
255,Sargis Sargsian,143.6,29.80%,49.80%,23.40%,40.60%
256,Henri Leconte,143.5,30.50%,49.90%,23.40%,39.70%
257,Andreas Vinciguerra,143.5,28.70%,49.40%,23.00%,42.40%
258,Marcelo Charpentier,143.4,29.70%,50.80%,23.00%,39.90%
259,Doug Flach,143.4,28.60%,51.10%,23.90%,39.80%
260,Stefano Galvani,143.4,30.30%,50.00%,23.60%,39.50%
261,Cristian Garin,143.3,30.80%,49.50%,23.70%,39.30%
262,Filip Krajinovic,143.3,28.20%,50.90%,22.80%,41.40%
263,Emil Ruusuvuori,143.3,29.90%,51.30%,22.70%,39.40%
264,Omar Camporese,143.2,29.70%,48.60%,22.30%,42.60%
265,Rui Machado,143.2,30.40%,49.70%,22.40%,40.70%
266,Viktor Troicki,143.2,30.30%,49.20%,23.10%,40.60%
267,Sergio Roitman,143.1,30.90%,50.90%,23.10%,38.20%
268,Casper Ruud,143.1,29.20%,50.80%,23.30%,39.80%
269,Chris Woodruff,143.1,28.70%,51.90%,24.30%,38.20%
270,Alex Bogomolov Jr.,143,28.40%,50.60%,22.90%,41.10%
271,Xavier Daufresne,143,27.80%,52.90%,22.80%,39.50%
